"player","position","team","points","sd_pts","dropoff","floor","ceiling","points_vor","floor_vor","ceiling_vor","rank","floor_rank","ceiling_rank","position_rank","tier","adp","aav","uncertainty"
"J.J. McCarthy","QB","MIN",290,19.6,4.73,270,325,-6.27,-7.83,0,190,191,130,16,"6",129,3.57,69
"Tyrel Dodson","LB","MIA",82.9,10.6,1.48,76.2,90.7,-6.29,-11.1,-0.225,191,223,136,21,"4",NA,8.5,47
"Cameron Heyward","DL","PIT",36.6,0.849,0.646,36,37.2,-6.32,-4.05,-8.69,192,156,205,28,"5",NA,4.56,13
"Stefon Diggs","WR","NE",160,12,1.98,147,182,-6.53,8.53,-17.6,193,95,307,40,"6",97.3,11,32
"Tyrique Stevenson","DB","CHI",82.8,3.32,0.466,80.6,85.2,-6.78,-3.61,-13,194,151,249,23,"4",NA,NA,86
"Brandon McManus","K","GB",140,11.3,0.644,125,155,-6.87,-13.8,-1.99,195,242,146,15,"2",175,1.91,77
"Bills","DST","BUF",87.5,9.56,0.927,68.6,94.2,-6.89,-17.1,-12.4,196,282,242,7,"5",131,1.37,45
"D.J. Wonnum","DL","CAR",35.9,7.5,0.0592,31.1,41.4,-6.96,-8.95,-4.45,197,200,168,29,"5",NA,6.96,76
"Kobie Turner","DL","LAR",35.9,4.81,0.0737,32.3,38.9,-7.02,-7.75,-6.94,198,190,194,30,"5",NA,NA,27
"Jonnu Smith","TE","PIT",111,19.9,6.1,81.2,143,-7.05,-26.7,0,199,383,130,19,"7",141,1.69,86
"Jared Verse","DL","LAR",35.8,3.39,0.469,33.3,37.9,-7.09,-6.78,-7.92,200,181,200,31,"5",NA,NA,15
"Jared Verse","DL","LAR",35.8,3.39,0.469,33.3,37.9,-7.09,-6.78,-7.92,200,181,200,31,"5",NA,NA,72
"Xavier McKinney","DB","GB",82.3,11.7,0.309,73.7,89.8,-7.25,-10.6,-8.42,201,219,204,24,"4",NA,11.3,39
"Daniel Carlson","K","LVR",139,9.51,0.72,122,147,-7.51,-16.1,-10.4,202,267,222,16,"2",166,1.81,71
"YaYa Diaby","DL","TB",35.3,6.58,0.808,31.1,40.1,-7.56,-8.97,-5.73,204,201,184,32,"5",NA,3.86,54
"YaYa Diaby","DL","TB",35.3,6.58,0.808,31.1,40.1,-7.56,-8.97,-5.73,204,201,184,32,"5",NA,3.86,73
"DeShon Elliott","DB","PIT",82,7.64,0.602,77.1,87.6,-7.56,-7.15,-10.6,203,186,225,25,"4",NA,12.9,32
"Azeez Al-Shaair","LB","HOU",81.5,0.707,2.63,81,82,-7.78,-6.26,-8.98,205,177,209,22,"4",NA,37.5,17
"Packers","DST","GB",86.5,11.7,1.22,70.4,102,-7.82,-15.3,-4.81,206,263,172,8,"6",156,0.65,77
"Jaylon Jones","DB","IND",81.4,NA,0.272,NA,NA,-8.16,NA,NA,207,NA,NA,26,"4",NA,4.15,NA
"Will Reichard","K","MIN",139,9.29,0.862,129,153,-8.23,-9.21,-4.16,208,207,164,17,"2",162,2.82,74
"Kyle Van Noy","DL","BAL",34.5,NA,0.11,NA,NA,-8.37,NA,NA,209,NA,NA,33,"5",NA,3.55,68
"Kyle Van Noy","DL","BAL",34.5,NA,0.11,NA,NA,-8.37,NA,NA,209,NA,NA,33,"5",NA,3.55,99
"Mike Sainristil","DB","WAS",81.1,4.38,0.749,77.9,83.9,-8.43,-6.36,-14.3,210,178,267,27,"4",NA,3.67,44
"AShawn Robinson","DL","CAR",34.4,2.12,0.61,33,35.9,-8.48,-7.03,-9.92,211,183,213,34,"5",NA,2.69,18
"Cooper Kupp","WR","SEA",158,24.6,1.58,135,198,-8.5,-3.52,-1.38,212,150,141,41,"6",92,13.8,67
"Cowboys","DST","DAL",85.3,11.4,0.848,71.3,102,-9.04,-14.4,-4.83,213,253,173,9,"6",162,0.55,97
"Josh Sweat","DL","ARI",33.8,4.24,0.019,31.1,36.9,-9.09,-9,-8.97,214,202,208,35,"5",NA,8.74,29
"Josh Sweat","DL","ARI",33.8,4.24,0.019,31.1,36.9,-9.09,-9,-8.97,214,202,208,35,"5",NA,8.74,62
"Joshua Karty","K","LAR",138,5.99,0.779,130,146,-9.1,-8.4,-11.8,215,196,237,18,"2",179,2.65,13
"Zach Allen","DL","DEN",33.8,2.69,0.341,32,35.7,-9.11,-8.03,-10.1,216,193,217,36,"5",NA,8.28,6
"Kenny Moore","DB","IND",80.4,4.24,0.221,77.7,83.5,-9.18,-6.6,-14.8,217,179,272,28,"4",NA,NA,28
"Xavier Woods","DB","TEN",80.2,1.77,1.41,79,81.5,-9.4,-5.24,-16.8,218,170,296,29,"4",NA,6.31,42
"Demarcus Lawrence","DL","SEA",33.4,8.27,0.106,28.1,39.5,-9.45,-11.9,-6.37,219,227,189,37,"5",NA,2.3,83
"Tuli Tuipulotu","DL","LAC",33.3,4.1,0.414,30.3,35.9,-9.56,-9.76,-9.93,220,212,214,38,"5",NA,NA,32
"Tuli Tuipulotu","DL","LAC",33.3,4.1,0.414,30.3,35.9,-9.56,-9.76,-9.93,220,212,214,38,"5",NA,NA,50
"Jake Moody","K","SF",137,7.45,1.3,129,149,-9.87,-9.81,-8.12,221,213,202,19,"2",167,3.03,39
"Steelers","DST","PIT",84.5,6.94,0.579,76.6,93.7,-9.89,-9.12,-12.9,222,204,246,10,"7",124,2.12,10
"Braden Fiske","DL","LAR",32.9,NA,0.0874,NA,NA,-9.97,NA,NA,223,NA,NA,39,"5",NA,NA,63
"Michael Pittman","WR","IND",156,12.1,2.28,136,170,-10.1,-2.37,-29,225,144,427,42,"6",106,9.4,29
"Travon Walker","DL","JAC",32.8,1.2,0.162,31.9,33.6,-10.1,-8.14,-12.3,224,195,241,40,"5",NA,8.09,4
"Travon Walker","DL","JAC",32.8,1.2,0.162,31.9,33.6,-10.1,-8.14,-12.3,224,195,241,40,"5",NA,8.09,38
"George Karlaftis","DL","KC",32.7,8.63,0.0569,27.1,39,-10.2,-12.9,-6.88,226,232,192,41,"5",NA,8.16,69
"Cameron Jordan","DL","NO",32.6,3.96,0.394,30.1,35.5,-10.3,-10,-10.4,227,214,220,42,"6",NA,NA,86
"Tremaine Edmunds","LB","CHI",78.8,1.27,0.474,78,79.8,-10.4,-9.25,-11.2,228,208,231,23,"4",NA,8.02,33
"Seahawks","DST","SEA",83.9,6.39,0.17,76.2,92.1,-10.5,-9.51,-14.5,229,210,269,11,"7",156,1.1,16
"49ers","DST","SF",83.7,10.5,0.63,67.4,94.4,-10.6,-18.3,-12.1,230,295,240,12,"8",148,0.3,71
"Keion White","DL","NE",32.2,NA,0.3,NA,NA,-10.7,NA,NA,231,NA,NA,43,"6",NA,NA,14
"Keion White","DL","NE",32.2,NA,0.3,NA,NA,-10.7,NA,NA,231,NA,NA,43,"6",NA,NA,97
"Devon Witherspoon","DB","SEA",78.8,5.73,0.453,75.1,83,-10.8,-9.18,-15.3,232,206,276,30,"4",NA,11.3,21
"Cody Barton","LB","TEN",78.4,2.69,1.08,76.6,80.3,-10.9,-10.6,-10.6,233,220,224,24,"4",NA,12.7,34
"Drake Maye","QB","NE",285,17.3,2.18,260,302,-11,-18.1,-23,235,293,371,17,"6",123,5.21,60
"Byron Young","DL","LAR",31.9,NA,0.529,NA,NA,-11,NA,NA,234,NA,NA,44,"6",NA,NA,NA
"Cam Little","K","JAC",136,10.8,0.808,121,155,-11.2,-17.7,-2.23,236,288,147,20,"2",162,2.95,68
"Chiefs","DST","KC",83.1,8.39,0.291,72.3,90.9,-11.3,-13.4,-15.7,238,239,283,13,"8",146,0.963,35
"Jaquan Brisker","DB","CHI",78.3,9.62,0.329,72.1,85.4,-11.3,-12.1,-12.9,237,230,247,31,"4",NA,6.46,30
"Kwity Paye","DL","IND",31.4,0.566,0.983,31,31.8,-11.5,-9.06,-14.1,239,203,264,45,"6",NA,NA,8
"Commanders","DST","WAS",82.8,12.4,0.021,64.9,96.6,-11.6,-20.8,-9.99,240,329,215,14,"8",169,0.1,84
"Lions","DST","DET",82.8,11,0.0906,65.2,94,-11.6,-20.6,-12.6,241,326,244,15,"8",144,1.29,58
"Alontae Taylor","DB","NO",78,6.15,0.427,73.5,81.9,-11.6,-10.8,-16.3,242,221,294,32,"4",NA,NA,58
"Giants","DST","NYG",82.7,14.5,0.21,66.4,102,-11.7,-19.4,-4.61,243,308,170,16,"8",164,0.2,99
"Chargers","DST","LAC",82.5,9.5,2.19,72.3,95.1,-11.9,-13.5,-11.4,244,240,232,17,"9",156,0.6,74
"Jason Myers","K","SEA",135,4.01,3.02,129,140,-12,-8.93,-17.5,246,199,306,21,"2",158,0.65,3
"Patrick Queen","LB","PIT",77.3,0.424,0.263,77,77.6,-12,-10.3,-13.4,245,216,252,25,"4",NA,20.1,24
"Cam Taylor-Britt","DB","CIN",77.5,2.05,2.28,76.2,79,-12,-8.03,-19.2,247,194,328,33,"5",NA,NA,65
"Edgerrin Cooper","LB","GB",77,13.7,1.51,66.9,85.8,-12.2,-20.3,-5.17,248,322,180,26,"5",NA,NA,59
"Jerome Ford","RB","CLE",120,27,2.13,98.7,176,-12.3,-5.54,13.6,249,173,76,37,"11",136,4.26,83
"Jordan Addison","WR","MIN",154,23.5,4.82,132,202,-12.4,-7.09,2.38,250,185,114,43,"7",106,4.14,65
"Quinnen Williams","DL","NYJ",30.4,5.52,0.112,26.3,33.9,-12.5,-13.7,-12,251,241,238,46,"6",NA,NA,49
"Zach Sieler","DL","MIA",30.3,7.21,0.221,25,34.9,-12.6,-15.1,-11,252,260,229,47,"6",NA,NA,45
"Adam Butler","DL","LVR",30.1,2.97,0.0296,27.9,32,-12.8,-12.2,-13.9,253,231,259,48,"6",NA,NA,92
"Jonathon Cooper","DL","DEN",30,9.12,0.341,23.3,35.9,-12.8,-16.7,-10,254,274,216,49,"6",NA,NA,78
"Jonathon Cooper","DL","DEN",30,9.12,0.341,23.3,35.9,-12.8,-16.7,-10,254,274,216,49,"6",NA,NA,90
"C.J. Stroud","QB","HOU",283,17.4,0.819,258,308,-13.2,-19.8,-16.7,256,311,295,18,"6",114,6.87,57
"Brenton Strange","TE","JAC",105,12.6,1.18,89.5,123,-13.2,-18.5,-19.7,255,296,335,20,"7",169,3.34,46
"Christian Barmore","DL","NE",29.7,3.54,0.27,27.1,31.9,-13.2,-13,-13.9,257,233,260,50,"6",NA,NA,55
"Jonathan Allen","DL","MIN",29.4,7,0.0167,24.3,33.9,-13.5,-15.8,-12,258,264,239,51,"6",NA,NA,67
"Grover Stewart","DL","IND",29.4,0.919,0.131,28.7,30,-13.5,-11.3,-15.9,259,225,287,52,"6",NA,NA,41
"Zaven Collins","DL","ARI",29.3,4.17,0.367,26.2,31.9,-13.6,-13.9,-13.9,260,243,261,53,"6",NA,NA,94
"Devin Lloyd","LB","JAC",75.5,14.5,1.44,64.9,84.8,-13.7,-22.4,-6.18,261,350,186,27,"5",NA,8.69,72
"Trevor Lawrence","QB","JAC",282,14.5,2.36,259,302,-14,-18.9,-23.4,263,299,375,19,"6",135,4.5,31
"Davon Hamilton","DL","JAC",28.9,NA,0.0663,NA,NA,-14,NA,NA,262,NA,NA,54,"6",NA,NA,NA
"B.J. Hill","DL","CIN",28.8,1.27,0.0926,28,29.8,-14,-12,-16.1,264,228,290,55,"6",NA,NA,51
"Cardinals","DST","ARI",80.3,11.2,0.0109,61.8,93.3,-14.1,-23.9,-13.2,265,362,251,18,"9",168,0.65,90
"Bengals","DST","CIN",80.3,7.24,0.267,71.6,89.4,-14.1,-14.1,-17.2,266,249,304,19,"9",156,0.1,29
"Malcolm Koonce","DL","LVR",28.7,1.13,0.0411,28,29.6,-14.1,-12,-16.3,267,229,293,56,"6",NA,NA,28
"CJ West","DL","SF",28.7,NA,0.17,NA,NA,-14.2,NA,NA,268,NA,NA,57,"6",NA,NA,NA
"Cade Otton","TE","TB",104,12.8,1.09,87.6,122,-14.3,-20.3,-20.5,270,321,346,21,"7",162,1.58,54
"Da'Ron Payne","DL","WAS",28.5,10.2,0.154,21,35,-14.3,-19,-10.8,271,301,227,58,"7",NA,NA,91
"Will Harris","DB","WAS",75.3,32.5,0.818,54.5,99.1,-14.3,-29.8,0.855,269,420,127,34,"5",NA,5.52,95
"Rachaad White","RB","TB",118,16.1,1.35,94,139,-14.4,-10.3,-23.3,273,217,374,38,"11",123,7.54,48
"Colts","DST","IND",80,4.74,0.686,73.9,84.5,-14.4,-11.8,-22.1,272,226,361,20,"10",167,0.4,13
"Dexter Lawrence","DL","NYG",28.4,10.1,0.187,20.9,34.8,-14.5,-19.1,-11,274,306,230,59,"7",NA,NA,88
"Marshawn Kneeland","DL","DAL",28.2,15.6,0.0898,18.2,39.6,-14.7,-21.8,-6.25,275,339,187,60,"7",NA,NA,99
"Cairo Santos","K","CHI",132,5.73,1.34,125,141,-15,-13.4,-16.1,278,237,291,22,"3",159,0.8,26
"Browns","DST","CLE",79.3,11.9,0.437,63.6,91.5,-15,-22.2,-15,279,346,274,21,"10",148,0,94
"Geno Stone","DB","CIN",74.4,1.77,0.981,73.1,75.6,-15.1,-11.1,-22.7,280,224,366,35,"5",NA,NA,63
"Jack Campbell","LB","DET",74.1,1.63,0.223,73,75.3,-15.2,-14.2,-15.7,281,252,284,28,"5",NA,NA,16
"Chigoziem Okonkwo","TE","TEN",103,12.6,1.6,87.6,122,-15.4,-20.3,-20.4,285,324,344,22,"7",175,3.11,71
"Carson Schwesinger","LB","CLE",73.8,1.77,0.181,72.5,75,-15.4,-14.7,-16,284,255,289,29,"5",NA,NA,57
"Bears","DST","CHI",78.9,9.23,0.0666,67.6,89.5,-15.5,-18.1,-17,286,292,302,22,"10",152,1.4,55
"Buccaneers","DST","TB",78.8,8.21,0.0406,64.1,87.9,-15.5,-21.7,-18.6,287,338,322,23,"10",160,0.65,39
"Raiders","DST","LVR",78.8,9.38,0.862,66.2,91.9,-15.6,-19.5,-14.7,289,309,271,24,"11",170,0,19
"Terrel Bernard","LB","BUF",73.7,20.4,0.481,58.7,86.7,-15.6,-28.6,-4.27,288,403,165,30,"5",NA,10.8,88
"Quinshon Judkins","RB","CLE",117,38.2,1.18,69.8,184,-15.7,-34.5,22.1,290,447,58,39,"11",112,5.48,96
"Demario Davis","LB","NO",73.2,11,1.35,66.2,81.2,-16.1,-21.1,-9.73,295,332,212,31,"5",NA,5.18,60
"Justin Reid","DB","NO",73.5,6.93,0.615,68.4,77.9,-16.1,-15.9,-20.4,296,265,343,36,"5",NA,NA,37
"Chad Ryland","K","ARI",131,11.7,1.79,116,150,-16.3,-22.7,-7.26,298,351,199,23,"3",172,0,81
"Jordan Love","QB","GB",280,15.4,9.93,258,306,-16.4,-19.8,-18.7,299,310,323,20,"7",120,5.24,40
"Jets","DST","NYJ",77.9,8.99,0.0141,66.6,89.3,-16.4,-19.2,-17.3,301,307,305,25,"11",173,0.3,61
"Falcons","DST","ATL",77.9,7.83,2.02,68.3,92.1,-16.5,-17.4,-14.5,302,286,270,26,"12",170,0,26
"Taron Johnson","DB","BUF",72.8,13.4,0.104,63,81.4,-16.7,-21.2,-16.8,307,335,297,37,"5",NA,NA,72
"Josh Metellus","DB","MIN",72.7,34.7,0.424,50.5,98.2,-16.8,-33.7,0,310,438,130,38,"5",NA,6.67,93
"Jacory Croskey-Merritt","RB","WAS",116,45.5,0.516,23.3,153,-16.9,-81,-9.52,312,585,210,40,"11",104,12.7,93
"Dalton Schultz","TE","HOU",101,14.4,0.109,77.5,118,-17,-30.5,-24.5,313,424,388,23,"7",175,2.93,69
"Isaiah Likely","TE","BAL",101,16.5,0.652,80.1,123,-17.1,-27.9,-19.6,315,396,333,24,"7",153,2.61,66
"Jayden Reed","WR","GB",149,23.9,0.366,108,187,-17.2,-30.5,-12.4,316,425,243,44,"7",115,3.14,72
"Tykee Smith","DB","TB",72.3,11.2,0.188,65.2,80.5,-17.2,-19.1,-17.7,318,305,312,39,"5",NA,NA,68
"Jordan Mason","RB","MIN",115,18.3,1.97,78.2,131,-17.4,-26.1,-31,324,377,440,41,"11",101,7.51,38
"Blake Cashman","LB","MIN",71.8,1.27,1.31,71,72.8,-17.4,-16.2,-18.2,322,270,320,32,"5",NA,27.5,10
"Michael Jackson","DB","CAR",72.1,3.25,0.15,70,74.5,-17.4,-14.2,-23.7,323,250,379,40,"5",NA,NA,60
"Emeka Egbuka","WR","TB",149,19.6,0.633,128,185,-17.5,-10.9,-14.1,326,222,265,45,"7",96.8,13.1,68
"Kamari Lassiter","DB","HOU",72,1.56,0.28,70.8,73,-17.6,-13.4,-25.3,327,238,400,41,"5",NA,NA,5
"Darren Waller","TE","MIA",100,12.8,0.398,76.3,111,-17.8,-31.6,-31.8,329,430,449,25,"7",168,2.92,80
"Marlon Humphrey","DB","BAL",71.7,2.9,0.147,69.6,73.6,-17.9,-14.7,-24.7,330,254,394,42,"5",NA,NA,33
"Quentin Lake","DB","LAR",71.6,6.79,0.0608,66.6,75.9,-18,-17.7,-22.4,331,289,363,43,"5",NA,NA,53
"Spencer Shrader","K","IND",129,19.1,0.148,100,152,-18.1,-38.1,-4.9,334,469,175,24,"3",170,0,84
"Derek Stingley Jr.","DB","HOU",71.5,6.86,0.0296,67.1,76.5,-18.1,-17.2,-21.7,332,283,354,44,"5",NA,NA,82
"Zyon McCollum","DB","TB",71.5,0.707,0.084,71,72,-18.1,-13.3,-26.3,333,235,409,45,"5",NA,NA,70
"Rashee Rice","WR","KC",148,28.8,0.983,116,199,-18.2,-23,0,336,354,130,46,"7",69.5,12.1,86
"Pat Freiermuth","TE","PIT",99.8,12.9,0.152,79.4,119,-18.2,-28.5,-23.4,337,402,376,26,"7",157,2.15,57
"Evan Williams","DB","GB",71.4,11,0.122,64.4,79.4,-18.2,-19.9,-18.8,335,314,324,46,"5",NA,2.23,67
"Mike Gesicki","TE","CIN",99.7,7.18,1.98,91.1,111,-18.3,-16.8,-32.1,341,276,450,27,"7",159,1.49,29
"Jason Sanders","K","MIA",129,16.9,2.16,112,156,-18.3,-26.4,-1.66,338,381,142,25,"3",148,3.42,99
"Ji'Ayir Brown","DB","SF",71.3,24.8,0.308,55.4,89.5,-18.3,-28.9,-8.76,340,409,206,47,"5",NA,NA,88
"Saints","DST","NO",75.9,13.9,0.108,55.6,92.7,-18.5,-30.1,-13.9,343,422,257,27,"12",170,0,81
"Dolphins","DST","MIA",75.8,10.9,2.07,62,92.5,-18.6,-23.7,-14.1,346,361,263,28,"13",170,0.1,68
"Talanoa Hufanga","DB","DEN",70.9,4.81,0.00198,67.9,74.5,-18.6,-16.4,-23.8,347,272,380,48,"5",NA,4.15,19
"Bryan Cook","DB","KC",70.9,10.6,0.341,64.2,78.7,-18.6,-20.1,-19.5,348,319,331,49,"6",NA,NA,77
"Nate Landman","LB","LAR",70.5,5.3,0.638,66.6,73.9,-18.7,-20.6,-17,349,328,301,33,"6",NA,7.85,76
"Kyle Dugger","DB","NE",70.6,16.2,0.368,60.2,82.5,-19,-24,-15.7,355,363,285,50,"6",NA,6.5,98
"Khalil Shakir","WR","BUF",147,17.2,0.47,121,175,-19.2,-17.2,-24.3,357,284,386,47,"7",116,4.38,38
"Eric Murray","DB","JAC",70.2,23.3,0.0637,55.3,87.3,-19.3,-28.9,-10.9,360,410,228,51,"6",NA,4.46,91
"Cam Skattebo","RB","NYG",113,20.3,0.599,90.9,152,-19.4,-13.3,-10.4,363,236,219,42,"11",118,5.09,59
"Quay Walker","LB","GB",69.9,1.7,0.294,68.6,71,-19.4,-18.6,-20,361,298,339,34,"6",NA,6.24,9
"Tyler Nubin","DB","NYG",70.2,4.31,0.0508,67,72.9,-19.4,-17.3,-25.3,362,285,401,52,"6",NA,5.66,16
"Jalen Pitre","DB","HOU",70.1,19.7,0.0238,55.7,82.7,-19.4,-28.6,-15.5,364,404,280,53,"6",NA,NA,75
"Kamren Kinchens","DB","LAR",70.1,NA,0.1,NA,NA,-19.5,NA,NA,365,NA,NA,54,"6",NA,NA,56
"Rashid Shaheed","WR","NO",147,10.1,0.541,131,160,-19.6,-7.71,-38.8,368,189,496,48,"7",146,2.97,18
"Ivan Pace","LB","MIN",69.6,10.7,2.39,62.8,77.4,-19.6,-24.5,-13.5,370,368,254,35,"6",NA,6.6,84
"Ja'Quan McMillian","DB","DEN",70,NA,0.295,NA,NA,-19.6,NA,NA,367,NA,NA,55,"6",NA,NA,NA
"Chauncey Gardner-Johnson","DB","HOU",69.7,1.06,0.156,68.9,70.4,-19.9,-15.3,-27.9,371,262,418,56,"6",NA,NA,81
"Tank Bigsby","RB","JAC",112,22.5,5.22,85.2,147,-20,-19.1,-15.6,374,304,282,43,"11",114,3.97,55
"Jalen Thompson","DB","ARI",69.5,11.5,0.0759,62.2,78,-20,-22.1,-20.2,375,344,342,57,"6",NA,NA,47
"Minkah Fitzpatrick","DB","MIA",69.5,5.3,1.17,66.1,73.4,-20.1,-18.2,-24.9,376,294,395,58,"6",NA,11.7,46
"Chris Godwin","WR","TB",146,27.6,1.19,124,201,-20.2,-15.2,1.86,378,261,116,49,"7",105,5.84,83
"Juwan Johnson","TE","NO",97.7,15.4,2.42,69.2,114,-20.3,-38.7,-28.4,380,470,420,28,"8",170,1.54,77
"Blake Grupe","K","NO",127,11.1,5.53,112,147,-20.4,-26.3,-10.7,381,380,226,26,"4",170,0,52
"Jaguars","DST","JAC",73.7,12.4,1.01,51.7,88.7,-20.7,-34,-17.9,383,440,317,29,"14",170,0,65
"Andrew Wingard","DB","JAC",68.3,NA,0.212,NA,NA,-21.3,NA,NA,388,NA,NA,59,"6",NA,NA,26
"Josh Downs","WR","IND",145,17.3,2.61,129,175,-21.4,-9.68,-24.6,389,211,390,50,"7",130,2.85,33
"Kamren Curl","DB","LAR",68.1,15.1,0.0439,57,77.8,-21.5,-27.3,-20.5,391,390,345,60,"6",NA,NA,89
"Titans","DST","TEN",72.7,12.7,2.37,56.5,88.5,-21.7,-29.2,-18.1,396,414,319,30,"15",170,0,42
"Cameron McGrone","LB","IND",67.2,NA,0.884,NA,NA,-22,NA,NA,399,NA,NA,36,"6",NA,5.78,NA
"Mason Taylor","TE","NYJ",95.3,11.7,2.17,78.9,116,-22.7,-29,-26.9,405,413,412,29,"8",171,2.81,60
"Frankie Luvu","LB","WAS",66.3,3.54,0.324,64.1,68.9,-22.9,-23.2,-22.1,415,358,360,37,"6",NA,14.6,21
"Christian Rozeboom","LB","CAR",66,3.04,1.92,64,68.2,-23.2,-23.2,-22.7,419,359,368,38,"6",NA,13.3,64
"Keon Coleman","WR","BUF",142,17,7.27,119,166,-24,-19.8,-33,428,313,456,51,"7",116,3.58,58
"Patriots","DST","NE",70.3,9.74,1.17,57.3,83.1,-24,-28.4,-23.4,429,401,377,31,"16",166,1,87
"Tyler Higbee","TE","LAR",93.1,17.3,4.5,73.3,122,-24.9,-34.7,-21,445,449,350,30,"8",181,1.72,89
"Najee Harris","RB","LAC",107,20.8,0.982,84.5,139,-25.2,-19.8,-23.5,451,312,378,44,"11",127,5.23,69
"Panthers","DST","CAR",69.2,12.7,0,57,91.1,-25.2,-28.7,-15.5,450,406,279,32,"16",170,0.1,48
"Payton Wilson","LB","PIT",64.1,9.05,1.46,57.4,69.9,-25.2,-29.8,-21.1,448,421,351,39,"7",NA,NA,83
"Andres Borregales","K","NE",121,12.6,0.482,101,137,-26,-37.2,-20.6,459,465,347,27,"4",170,0,42
"Nick Chubb","RB","HOU",106,29,6.5,70,146,-26.2,-34.3,-16.3,461,445,292,45,"12",133,6.66,87
"Bryce Young","QB","CAR",270,18.7,3.36,244,296,-26.3,-33.6,-28.9,463,437,426,21,"7",154,2.94,34
"Joey Slye","K","TEN",120,5.7,1.11,111,129,-26.4,-27.4,-28.7,465,391,424,28,"4",170,0,1
"Henry To'oTo'o","LB","HOU",62.6,9.76,0.4,55.4,68.9,-26.6,-31.8,-22.1,469,432,362,40,"7",NA,NA,81
"Tyrice Knight","LB","SEA",62.2,16.5,0.101,50.1,72.8,-27,-37.2,-18.2,473,464,321,41,"7",NA,NA,86
"Jack Sanborn","LB","DAL",62.1,27,0.423,42.3,79.4,-27.1,-45,-11.6,476,489,234,42,"7",NA,21.3,97
"Graham Gano","K","NYG",119,19.7,0.668,83.9,143,-27.6,-54.4,-13.9,483,513,256,29,"4",170,0,94
"Micah McFadden","LB","NYG",61.7,3.54,1.68,59.1,63.9,-27.6,-28.2,-27,482,398,414,43,"7",NA,4.85,48
"Nick Folk","K","NYJ",119,16.4,3.3,92.6,135,-28.2,-45.7,-22.7,494,492,367,30,"4",170,0,87
"Nick Martin","LB","SF",60,NA,0.629,NA,NA,-29.2,NA,NA,512,NA,NA,44,"7",NA,NA,53
"Robbie Ouzts","TE","SEA",88.6,NA,0.673,NA,NA,-29.4,NA,NA,515,NA,NA,31,"8",NA,NA,99
"Geno Smith","QB","LVR",267,12.9,1.23,250,282,-29.6,-27.8,-43,520,395,508,22,"7",150,3.85,17
"Pete Werner","LB","NO",59.4,0.566,0.891,59,59.8,-29.9,-28.3,-31.2,524,399,443,45,"7",NA,NA,66
"Theo Johnson","TE","NYG",87.9,21.9,5.41,45.8,113,-30.1,-62.1,-29.6,527,528,432,32,"9",187,1.24,94
"Elandon Roberts","LB","LVR",58.5,5.37,0.322,54.5,61.9,-30.8,-32.7,-29,535,435,428,46,"7",NA,7.1,74
"Michael Penix Jr.","QB","ATL",265,13.7,1.06,251,285,-30.9,-27,-39.8,538,386,498,23,"7",152,2.84,20
"Mack Wilson","LB","ARI",58.2,1.77,1.62,57,59.5,-31.1,-30.2,-31.5,541,423,446,47,"8",NA,7.06,55
"Marvin Mims","WR","DEN",135,25.5,3.69,107,175,-31.2,-31.4,-24,543,428,385,52,"8",143,3.56,82
"Ryan Fitzgerald","K","CAR",115,21.6,11.9,81.1,136,-31.5,-57.2,-21.2,547,516,352,31,"5",170,0,97
"Tua Tagovailoa","QB","MIA",264,21,2.67,235,291,-31.9,-42.5,-33.6,553,481,458,24,"7",140,3.6,46
"Trey Benson","RB","ARI",99.7,12.2,0.781,82,115,-32.7,-22.3,-47.3,563,348,521,46,"12",141,5.88,25
"Dre Greenlaw","LB","DEN",56.5,45,1.13,23.5,85.3,-32.7,-63.8,-5.63,562,531,181,48,"8",NA,9.74,98
"Ray Davis","RB","BUF",98.9,26.9,3.56,69.6,149,-33.5,-34.7,-13.2,571,448,250,47,"12",145,2.32,72
"Omar Speights","LB","LAR",55.4,0.636,0.234,55,55.9,-33.8,-32.3,-35.1,575,434,466,49,"8",NA,NA,79
"Divine Deablo","LB","ATL",55.2,7.35,1.35,49.8,59.9,-34.1,-37.5,-31.1,577,466,441,50,"8",NA,NA,90
"Matthew Stafford","QB","LAR",262,18,2.72,241,288,-34.6,-37,-37.2,581,463,483,25,"7",147,3.97,54
"Rashod Bateman","WR","BAL",131,19.1,4.66,103,156,-34.9,-35.5,-43.8,583,455,512,53,"8",143,4.67,60
"Trevin Wallace","LB","CAR",53.8,17,0.237,41.3,64.7,-35.4,-45.9,-26.2,590,493,408,51,"8",NA,NA,91
"Elijah Arroyo","TE","SEA",82.5,26.4,5.39,42,115,-35.5,-65.9,-27.5,591,536,417,33,"9",176,6.16,97
"Germaine Pratt","LB","LVR",53.6,26.9,0.501,36.4,73.3,-35.6,-50.9,-17.6,594,504,310,52,"8",NA,6.58,93
"Denzel Perryman","LB","LAC",53.1,NA,0.062,NA,NA,-36.1,NA,NA,597,NA,NA,53,"8",NA,NA,78
"Nakobe Dean","LB","PHI",53,3.11,0.114,51,55.3,-36.2,-36.2,-35.6,600,459,472,54,"8",NA,9.82,71
"Demetrius Knight","LB","CIN",52.9,6.22,0.124,48.4,56.9,-36.3,-38.9,-34.1,602,471,459,55,"8",NA,NA,50
